"location","indicator","Unit","Date","Value"
"California","1 Adult 1 Child","US $","2018","30.23"
"California","1 Adult 1 Child","US $","2019","31.25"
"California","1 Adult 1 Child","US $","2020","39.08"
"California","1 Adult 1 Child","US $","2021","40.34"
"California","1 Adult 1 Child","US $","2022","44.18"
"California","1 Adult 2 Children","US $","2016","32.26"
"California","1 Adult 2 Children","US $","2018","36.02"
"California","1 Adult 2 Children","US $","2019","37.46"
"California","1 Adult 2 Children","US $","2020","47.74"
"California","1 Adult 2 Children","US $","2021","50"
"California","1 Adult 2 Children","US $","2022","54.95"
"California","1 Adult 3 Children","US $","2016","40.81"
"California","1 Adult 3 Children","US $","2018","46.83"
"California","1 Adult 3 Children","US $","2019","48.49"
"California","1 Adult 3 Children","US $","2020","64.11"
"California","1 Adult 3 Children","US $","2021","66.02"
"California","1 Adult 3 Children","US $","2022","73.98"
"California","2 Adults (1 Working)","US $","2016","20.79"
"California","2 Adults (1 Working)","US $","2018","22.61"
"California","2 Adults (1 Working)","US $","2019","23.28"
"California","2 Adults (1 Working)","US $","2020","29.53"
"California","2 Adults (1 Working)","US $","2021","30.26"
"California","2 Adults (1 Working)","US $","2022","33.58"
"California","2 Adults (1 Working) 1 Child","US $","2016","26.46"
"California","2 Adults (1 Working) 1 Child","US $","2018","27.87"
"California","2 Adults (1 Working) 1 Child","US $","2019","29.17"
"California","2 Adults (1 Working) 1 Child","US $","2020","35.3"
"California","2 Adults (1 Working) 1 Child","US $","2021","36.85"
"California","2 Adults (1 Working) 1 Child","US $","2022","40.78"
"California","2 Adults (1 Working) 2 Children","US $","2016","29.21"
"California","2 Adults (1 Working) 2 Children","US $","2018","30.68"
"California","2 Adults (1 Working) 2 Children","US $","2019","31.91"
"California","2 Adults (1 Working) 2 Children","US $","2020","40.27"
"California","2 Adults (1 Working) 2 Children","US $","2021","40.83"
"California","2 Adults (1 Working) 2 Children","US $","2022","46.75"
